24  276
2019 17 2 23 2
2019 0 0 19 0
2019 10 2 15 2
2019 16 0 12 0
2019 3 2 9 1
019 1 0 11 2
019 18 0 5 1
019 14 5 22 2
019 13 1 20 2
019 9 5 10 1
019 19 3 17 3
019 7 1 6 0
019 21 1 0 1
019 23 2 2 1
019 8 0 4 0
019 12 0 3 1
019 15 0 16 0
019 5 1 7 0
019 17 0 11 1
019 3 0 19 1
019 2 3 4 0
019 22 1 23 2
019 15 3 21 2
2019 20 0 14 1
2019 13 0 18 3
2019 6 2 8 0
2019 0 1 12 0
2019 16 0 9 0
2019 12 1 15 1
2019 8 2 3 0
2019 11 2 2 2
2019 9 2 17 0
2019 18 0 10 1
2019 19 1 16 0
2019 7 3 0 3
2019 1 3 5 2
2019 21 0 22 2
2019 14 5 13 1
2019 4 1 6 0
2019 19 1 18 1
2019 0 1 8 1
2019 5 1 11 1
2019 9 1 4 1
2019 6 2 20 3
019 2 2 21 0
019 16 3 1 1
019 22 0 7 5
019 15 1 14 1
019 13 0 23 0
019 10 1 3 1
019 17 1 12 0
019 1 0 13 2
019 23 0 19 1
019 12 0 10 2
019 7 0 17 0
019 11 2 6 2
019 3 1 0 0
019 18 2 15 1
019 8 2 22 0
019 14 1 9 0
019 20 0 2 1
019 21 0 16 1
019 4 1 5 1
2019 10 2 1 1
2019 23 2 6 3
020 23 1 20 2
020 13 2 3 0
020 18 0 16 0
020 17 1 4 0
020 14 2 12 1
020 10 1 6 1
020 15 1 1 0
020 2 1 5 1
020 22 0 20 1
020 19 3 21 3
020 8 4 7 1
020 0 1 11 1
020 9 0 23 0
020 16 1 13 1
020 12 1 18 1
20 23 5 14 0
20 11 1 8 1
20 5 3 17 1
20 4 1 0 1
20 20 2 15 0
20 1 0 19 1
20 3 2 22 0
20 7 1 9 2
20 21 2 10 2
20 6 1 2 0
20 13 0 15 2
20 4 0 3 0
20 18 1 21 1
20 8 0 1 0
20 19 1 14 1
20 6 0 5 0
20 9 2 11 0
20 2 1 16 0
20 0 1 23 0
20 17 1 20 2
020 10 1 7 1
020 22 2 12 1
020 21 1 17 0
020 1 1 0 1
020 12 0 13 2
020 11 0 4 2
020 14 1 18 0
020 7 1 2 0
020 20 1 19 0
020 3 1 6 1
020 15 0 9 4
020 5 1 8 2
020 23 1 10 1
020 19 0 13 1
020 4 1 21 1
020 2 0 0 1
020 23 0 18 1
020 6 4 1 0
020 11 2 3 2
020 10 0 16 4
020 9 3 22 0
020 5 0 20 2
020 8 3 14 0
020 17 0 15 0
020 7 4 12 2
020 0 1 6 1
020 1 0 9 4
020 18 1 11 0
020 20 1 8 1
020 15 1 19 1
020 22 1 17 3
20 13 1 2 3
20 3 1 5 1
20 14 3 10 1
20 16 2 4 0
20 21 3 7 2
20 12 1 23 0
20 16 0 22 1
20 10 4 13 0
20 4 2 14 1
20 8 2 21 0
20 19 0 12 3
20 9 1 18 0
20 11 1 20 1
20 2 4 3 3
20 23 3 15 0
20 6 0 22 2
20 7 2 1 0
20 17 0 16 3
20 5 1 0 2
